没有电话	快递放没有人知息化地方 也没有电话告知 快递太差
舒服透气性	总体不错 无论是从价格还是质量各方面都可以 一直以来都是买这个牌子 售后也不错 发货也快尺码大小 宽松版型 适合肥胖人群面料类型 纯棉 很软面料质感 很软 穿上也舒服透气性 薄款 比较透气
效率高 	商家服务太好了 效率高 服务态度好 很满意
服务态度好	商家服务太好了 效率高 服务态度好 很满意
质量很好	很喜欢 穿着很凉爽 质量也很好 商场同款 价格实惠很多
同款 	很喜欢 穿着很凉爽 质量也很好 商场同款 价格实惠很多
质量不错	老公说质量不错 不容易起静电 活动入的性价比超高 很值得购买的裤子～
起静电	老公说质量不错 不容易起静电 活动入的性价比超高 很值得购买的裤子～
入性价比	老公说质量不错 不容易起静电 活动入的性价比超高 很值得购买的裤子～
购买裤子	老公说质量不错 不容易起静电 活动入的性价比超高 很值得购买的裤子～
已经洗 棉穿着	已经洗了 棉的穿着很舒服 夏天穿很好 不是特别厚的那种清爽舒适
客服居然硬	有一件大小寄错了 明显的码吊牌挂了码客服居然还硬说以吊牌为主 无法理解 申请售后京东倒是很快就更换了
无法理解	有一件大小寄错了 明显的码吊牌挂了码客服居然还硬说以吊牌为主 无法理解 申请售后京东倒是很快就更换了
申请售后	有一件大小寄错了 明显的码吊牌挂了码客服居然还硬说以吊牌为主 无法理解 申请售后京东倒是很快就更换了
劝大家	码偏大 穿了就和睡衣一样 换货太慢 慢的难以想象 劝大家不要买 都发货四天了 也没给我处理换货
配送速度	配送速度很快 尺码偏大的 确实很薄 很透气 很柔软 拉伸度很强 很符合商家描述 下次如果购买的话 还会复购的 比较推荐
透气 	配送速度很快 尺码偏大的 确实很薄 很透气 很柔软 拉伸度很强 很符合商家描述 下次如果购买的话 还会复购的 比较推荐
符合商家	配送速度很快 尺码偏大的 确实很薄 很透气 很柔软 拉伸度很强 很符合商家描述 下次如果购买的话 还会复购的 比较推荐
买三免一 等 	买三免一 说了等 还是等 效率低下
质感 	面料质感 很舒服透气性 不错试穿效果 肩部稍有隆起 女生建议拍小一码 版型修身
舒服透气性	面料质感 很舒服透气性 不错试穿效果 肩部稍有隆起 女生建议拍小一码 版型修身
拍小一码	面料质感 很舒服透气性 不错试穿效果 肩部稍有隆起 女生建议拍小一码 版型修身
老公很喜欢 穿	老公很喜欢 穿得很合适
一次性非常划算 第一次	一次性买了三件非常划算 第一次买黄色款 非常亮眼 尺码刚刚合身 不会偏色褪色 无论外穿或打底都合适 可以可以 下次再来光临  支持支持
质量非常好	质量非常好 非常满意的一次购物 客服有问必答 非常专业便宜又实惠 买了好多 宝贝一如既往的好  性价比非常高 大品牌值得信赖
购物 	质量非常好 非常满意的一次购物 客服有问必答 非常专业便宜又实惠 买了好多 宝贝一如既往的好  性价比非常高 大品牌值得信赖
专业便宜	质量非常好 非常满意的一次购物 客服有问必答 非常专业便宜又实惠 买了好多 宝贝一如既往的好  性价比非常高 大品牌值得信赖
性价比非常高	质量非常好 非常满意的一次购物 客服有问必答 非常专业便宜又实惠 买了好多 宝贝一如既往的好  性价比非常高 大品牌值得信赖
厚度挺足	纯棉的 穿的很舒服 厚度也挺足 质量很好 纯色的没有奇怪图案 看着也很顺眼 然后价格很实惠 性价比超高 这个牌子就不错 完全没有必要买名牌货
质量很好	纯棉的 穿的很舒服 厚度也挺足 质量很好 纯色的没有奇怪图案 看着也很顺眼 然后价格很实惠 性价比超高 这个牌子就不错 完全没有必要买名牌货
纯色没有	纯棉的 穿的很舒服 厚度也挺足 质量很好 纯色的没有奇怪图案 看着也很顺眼 然后价格很实惠 性价比超高 这个牌子就不错 完全没有必要买名牌货
奇怪图案	纯棉的 穿的很舒服 厚度也挺足 质量很好 纯色的没有奇怪图案 看着也很顺眼 然后价格很实惠 性价比超高 这个牌子就不错 完全没有必要买名牌货
性价比超高	纯棉的 穿的很舒服 厚度也挺足 质量很好 纯色的没有奇怪图案 看着也很顺眼 然后价格很实惠 性价比超高 这个牌子就不错 完全没有必要买名牌货
牌子就不错	纯棉的 穿的很舒服 厚度也挺足 质量很好 纯色的没有奇怪图案 看着也很顺眼 然后价格很实惠 性价比超高 这个牌子就不错 完全没有必要买名牌货
衣服一般 商家服务态度	衣服一般 商家服务态度不好
牌子 	材质 材料很好 感觉穿上去以后就想一张纸一样 布料都很不错 一下子买了好几款服装 一起买 一直都支持班尼路这款牌子 很喜欢班尼路这款牌子 再接再厉做好这个牌子 布料摸起来也很舒服 不知道过几个月会不会起球 喜欢班尼路 嘻嘻
牌子 	材质 材料很好 感觉穿上去以后就想一张纸一样 布料都很不错 一下子买了好几款服装 一起买 一直都支持班尼路这款牌子 很喜欢班尼路这款牌子 再接再厉做好这个牌子 布料摸起来也很舒服 不知道过几个月会不会起球 喜欢班尼路 嘻嘻
牌子 	材质 材料很好 感觉穿上去以后就想一张纸一样 布料都很不错 一下子买了好几款服装 一起买 一直都支持班尼路这款牌子 很喜欢班尼路这款牌子 再接再厉做好这个牌子 布料摸起来也很舒服 不知道过几个月会不会起球 喜欢班尼路 嘻嘻
布料摸	材质 材料很好 感觉穿上去以后就想一张纸一样 布料都很不错 一下子买了好几款服装 一起买 一直都支持班尼路这款牌子 很喜欢班尼路这款牌子 再接再厉做好这个牌子 布料摸起来也很舒服 不知道过几个月会不会起球 喜欢班尼路 嘻嘻
起球 	材质 材料很好 感觉穿上去以后就想一张纸一样 布料都很不错 一下子买了好几款服装 一起买 一直都支持班尼路这款牌子 很喜欢班尼路这款牌子 再接再厉做好这个牌子 布料摸起来也很舒服 不知道过几个月会不会起球 喜欢班尼路 嘻嘻
刚试 	刚试了一下 很合身 面料厚实 没问题 质量很好 我去年在实体店买过几次 这是第一次在网上买班尼路 很高兴 很满意 主要是价格也合适 希望看到更多的班尼路在网上出现 没有最好 只有最合适
面料厚实	刚试了一下 很合身 面料厚实 没问题 质量很好 我去年在实体店买过几次 这是第一次在网上买班尼路 很高兴 很满意 主要是价格也合适 希望看到更多的班尼路在网上出现 没有最好 只有最合适
质量很好	刚试了一下 很合身 面料厚实 没问题 质量很好 我去年在实体店买过几次 这是第一次在网上买班尼路 很高兴 很满意 主要是价格也合适 希望看到更多的班尼路在网上出现 没有最好 只有最合适
是价格	刚试了一下 很合身 面料厚实 没问题 质量很好 我去年在实体店买过几次 这是第一次在网上买班尼路 很高兴 很满意 主要是价格也合适 希望看到更多的班尼路在网上出现 没有最好 只有最合适
颜色不是很满意	颜色不是很满意
正好弹性	我的身高体重  尺码大小 码穿起来正好弹性大小 很有弹性 不会捂住大腿面料材质 面料挺透气 适合春夏季节舒适程度 很舒服 皮肤贴合版型设计 版型修身 适合我这种比较瘦一些的
有弹性	我的身高体重  尺码大小 码穿起来正好弹性大小 很有弹性 不会捂住大腿面料材质 面料挺透气 适合春夏季节舒适程度 很舒服 皮肤贴合版型设计 版型修身 适合我这种比较瘦一些的
捂住大腿	我的身高体重  尺码大小 码穿起来正好弹性大小 很有弹性 不会捂住大腿面料材质 面料挺透气 适合春夏季节舒适程度 很舒服 皮肤贴合版型设计 版型修身 适合我这种比较瘦一些的
透气 	我的身高体重  尺码大小 码穿起来正好弹性大小 很有弹性 不会捂住大腿面料材质 面料挺透气 适合春夏季节舒适程度 很舒服 皮肤贴合版型设计 版型修身 适合我这种比较瘦一些的
舒适程度	我的身高体重  尺码大小 码穿起来正好弹性大小 很有弹性 不会捂住大腿面料材质 面料挺透气 适合春夏季节舒适程度 很舒服 皮肤贴合版型设计 版型修身 适合我这种比较瘦一些的
感谢商家	哈哈哈 满意 送货快 快递员态度好 信赖京东 感谢商家 物美价廉 买了许多次这个店的东西了 一直支持 和以前买的质量一样好 五星
面料好	尺寸合适 面料好 版型设计非常好
快递很快 前天下	快递很快 前天下单今天收到 衣服质量一般般 太薄了
没有人工	客服态度真的是不怎么样 问了好几天没有人工客服 全是机器人 解决不了问题 买了售后很差劲
客服 	客服态度真的是不怎么样 问了好几天没有人工客服 全是机器人 解决不了问题 买了售后很差劲
是机器人	客服态度真的是不怎么样 问了好几天没有人工客服 全是机器人 解决不了问题 买了售后很差劲
是价格	一直买了好几年 做事穿超级耐脏 纯棉的又好洗 又吸汗 主要是价格也很便宜的 支持
发现有毛刺	发现两件有毛刺了
舒适面料	面料类型 舒适面料质感 柔软舒适透气性 很好试穿效果 高 斤穿刚好
质感 	面料类型 舒适面料质感 柔软舒适透气性 很好试穿效果 高 斤穿刚好
舒适透气性	面料类型 舒适面料质感 柔软舒适透气性 很好试穿效果 高 斤穿刚好
有点皱	有点皱面料类型 一般面料质感 一般尺码大小 刚刚好
一般面料	有点皱面料类型 一般面料质感 一般尺码大小 刚刚好
质感 	有点皱面料类型 一般面料质感 一般尺码大小 刚刚好
行 物流再快点	还行 物流再快点就行了
裤子最合适	这是我网络买裤子买的最合适的一次了 第一次来这买了一条 穿着十分舒服 柔软度合适 弹性很好 跑动 蹲地 爬梯子都没有一点绷紧感 这次又买了条 赞一个
弹性很好	这是我网络买裤子买的最合适的一次了 第一次来这买了一条 穿着十分舒服 柔软度合适 弹性很好 跑动 蹲地 爬梯子都没有一点绷紧感 这次又买了条 赞一个
不是宽松型	不是宽松型的
质感一般	质感一般 面料没有介绍的那么好 局部凉爽 但是裤裆还是透气性不够 闷热
面料没有	质感一般 面料没有介绍的那么好 局部凉爽 但是裤裆还是透气性不够 闷热
透气性不够	质感一般 面料没有介绍的那么好 局部凉爽 但是裤裆还是透气性不够 闷热
